type,address,name,legit
1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1
1,0xcd1faff6e578fa5cac469d2418c95671ba1a62fe,XTM,1
1,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,1
1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1
1,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,1
1,0x4d224452801aced8b2f0aebe155379bb5d594381,APE,1
1,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX,1
1,0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,GFI,1
1,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,1
1,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,1
1,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,3Crv,1
1,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1
1,0x39fbbabf11738317a448031930706cd3e612e1b9,WXRP,1
1,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,1
1,0xb53ecf1345cabee6ea1a65100ebb153cebcac40f,O,1
1,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1
1,0xba5bde662c17e2adff1075610382b9b691296350,RARE,1
2,0x4bbcc727822b99330bf164c0972fcf1b537caa78,BLNKS,1
2,0x44f6a6256e97c91dee6199b0625282718101e4e4,Shredders by Zak Krevitt,1
2,0xc7926bae96dcfecfbe44e0bcfbe19f0be2dbdb1b,PIGGANG,1
2,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,BEANZ,1
1,0x893391874fe265f28e411e49ee680c3ddf4ba9e6,$TOM,1
1,0x2596825a84888e8f24b747df29e11b5dd03c81d7,FTRB,1
1,0x4e15361fd6b4bb609fa63c81a2be19d873717870,FTM,1
1,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,1
1,0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,1
1,0x09a3ecafa817268f77be1283176b946c4ff2e608,MIR,1
1,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,1
1,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,cvxCRV,1
1,0x06cd589760da4616a0606da1367855808196c352,bnDAI,1
1,0x04906695d6d12cf5459975d7c3c03356e4ccd460,sOHM,1
2,0xa310425046661c523d98344f7e9d66b32195365d,SCIENTIST,1
1,0xf4d2888d29d722226fafa5d9b24f9164c092421e,LOOKS,1
1,0x0c572544a4ee47904d54aaa6a970af96b6f00e1b,WAS,1
2,0xdaf7f01b17209bc1e13c8f493263eb48fc7b9250,RFC.X,1
1,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,AXS,1
2,0xbf075913c18d8ea46c2826ddaa382b161da6cd73,HOAP,1
2,0x0326b0688d9869a19388312df6805d1d72aab7bc,KAHIRU,1
2,0xb9b2fae0086a14f626af91da173ec48233b7ab89,WORDS,1
2,0x35fe3509c5f1187420fd6c5f6312316454166d32,GAC,1
1,0x8481520e2c9008e30a2f4fbfc415ac586f22f359,BLUE,1
1,0x59f942d8ded482e7d2891b4705d3ae5f450b1ec2,SWI,1
2,0x98a0227e99e7af0f1f0d51746211a245c3b859c2,HBZ,1
2,0x9378368ba6b85c1fba5b131b530f5f5bedf21a18,VF2,1
2,0xcff183f4056146dd4a1cc54829f4d95b629200bc,STICK,1
1,0xf3b9569f82b18aef890de263b84189bd33ebe452,CAW,1
2,0x76b3af5f0f9b89ca5a4f9fe6c58421dbe567062d,NOB,1
1,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,MIM,1
1,0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,1
1,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,1
1,0x3b94440c8c4f69d5c9f47bab9c5a93064df460f5,RNG,1
1,0x6243d8cea23066d098a15582d81a598b4e8391f4,FLX,1
2,0xa1de9f93c56c290c48849b1393b09eb616d55dbb,GNSS,1
1,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,1
1,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,NEXO,1
1,0xc6e145421fd494b26dcf2bfeb1b02b7c5721978f,CPRX,1
1,0x0202be363b8a4820f3f4de7faf5224ff05943ab1,UFT,1
1,0xbe9375c6a420d2eeb258962efb95551a5b722803,STMX,1
1,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,BAND,1
1,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,OMI,1
2,0xa5c0bd78d1667c13bfb403e2a3336871396713c5,COOLMAN,1
2,0xaac1c334fa3e791904439c5f217f53dccbf7ea59,HEROESPLAYINGPOKEROPENEDITIONBYJOSEDELBO,1
2,0x4d928fada59f3446627c5bea707a81e006cf676f,VC,1
2,0x674b7df3892862be4bf422233341c4619fc40a5e,MOOS,1
1,0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,1
1,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,KNC,1
1,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,FUN,1
1,0x0d9ac6be06acfa0f582a0f1bec9f7779b8b2fa5f,HAYY,1
