type,name,symbol,address,deployer
20,Synth sUSD,,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,genesis
20,USD Coin,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,genesis
20,Optimism,OP,0x4200000000000000000000000000000000000042,0xcde47c1a5e2d60b9ff262b0a3b6d486048575ad9
20,Aave Optimism Variable Debt USDC,variableDebtOptUSDC,0xfccf3cabbe80101232d343252614b6a3ee81c989,0x8145edddf43f50276641b55bd3ad95944510021e
20,Synth sETH,sETH,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,genesis
20,Hop ETH LP Token,,0x5c2048094baade483d0b1da85c3da6200a88a849,genesis
20,USD Coin Hop Token,,0x25d8039bb044dc227f741a9e381ca4ceae2e6ae8,genesis
20,ChainLink Token,LINK,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,genesis
20,Aave Token,AAVE,0x76fb31fb4af56892a25e32cfc43de717950c9278,0x7a1285a7381a3099bfe6706549859316e6f90e6a
20,Gelato Uniswap USDC/DAI LP,G-UNI,0x8f9ab50fc5c0d2ead5953a2836d22e48e5788151,0x2845c6929d621e32b7596520c8a1e5a37e616f09
20,Aave Optimism WBTC,,0x078f358208685046a11c85e8ad32895ded33a249,0x8145edddf43f50276641b55bd3ad95944510021e
20,StableV1 AMM - VELO/USDC,sAMM-VELO/USDC,0x335bd4ffa921160fc86ce3843f80a9941e7456c6,0x25cbddb98b35ab1ff77413456b31ec81a6b6b746
20,Moo Curve f-sETH,mooCurveFsETH,0x92651e1bbfe0f8423119afc4b0610c747fa125a1,0x982f264ce97365864181df65df4931c593a515ad
20,UniDex,,0x5d47baba0d66083c52009271faf3f50dcc01023c,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251
20,VolatileV1 AMM - USDC/MAI,vAMM-USDC/MAI,0x0b5581d5db524eaf0006a0bafd1e8d206c70cc0d,0x25cbddb98b35ab1ff77413456b31ec81a6b6b746
20,OPX LP,OLP,0xf844bb34ec0690093972936ba7084a6de51f11bb,0xcd526ee406bc8349ba8135758cee11fa3aaa59a0
20,USDT Sonne Crypt,rf-soUSDT,0xd84d315f22565399abfcb2b9c836955401c01a47,0x4c3490df15edfa178333445ce568ec6d99b5d71c
20,VolatileV1 AMM - USDC/agEUR,,0x7866c6072b09539fc0fde82963846b80203d7beb,0x25cbddb98b35ab1ff77413456b31ec81a6b6b746
20,Moo Beets Rocket Fuel ,mooBeetsRocketFuel,0xdcc5dc90a803928dc21556590d4620030966270f,0x010da5ff62b6e45f89fa7b2d8ced5a8b5754ec1b
20,Mai Stablecoin,,0x65e66a61d0a8f1e686c2d6083ad611a10d84d97a,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251
20,Brazil vs Switzerland,HOME,0xacea706373da5922fa7831eaee55898060d9a129,0x795ba11d575e6703282b1db0cb849a15e304115d
20,Aave Optimism Variable Debt LINK,variableDebtOptLINK,0x953a573793604af8d41f306feb8274190db4ae0e,0x8145edddf43f50276641b55bd3ad95944510021e
20,Moo Velodrome OP-USDC,,0x613f54c8836fd2c09b910869ac9d4de5e49db1d8,0x010da5ff62b6e45f89fa7b2d8ced5a8b5754ec1b
